"PROBEID","ENTREZID","SYMBOL","GSM894405_HD1.CEL","GSM894406_HD2.CEL","GSM894407_HD3.CEL","GSM894408_MM1.CEL","GSM894409_MM2.CEL","GSM894410_MM3.CEL","GSM894411_MM4.CEL"
"214172_x_at","6259","RYK","7.10342075909867","6.95558898488315","6.80889747791959","7.30429363785702","7.14424585514728","7.25479746949639","7.3518959747822"
"214173_x_at","8725","URI1","8.4826595888915","8.39858695102792","8.5611945000551","8.32126780977267","8.47055937028516","8.37594101127364","8.08900809985225"
"214177_s_at","57326","PBXIP1","7.25457827918609","6.94945898857123","6.64686792723365","7.35004511092261","7.43695094187106","7.52252967261726","7.79387625083369"
"214179_s_at","4779","NFE2L1","8.3434373597765","8.54473195737985","8.08389213895022","8.78227843138303","8.58630165518338","8.54473195737985","9.07476777551106"
"214183_s_at","8277","TKTL1","3.56333434355614","3.47510345471192","3.61655973432614","3.38842955367179","3.51110835401604","3.51110835401604","3.51110835401604"
"214186_s_at","352961","HCG26","4.45120091760858","4.3362223112729","4.41628185826379","4.45120091760858","4.51662018764831","4.5990449068147","4.54278223111567"
"214198_s_at","9993","DGCR2","6.60102351596745","6.74211139841976","6.57038882439863","6.80406045343074","6.91533863342761","6.76075080242205","6.95867273797304"
"214199_at","6441","SFTPD","3.08189672098283","2.95191875175965","3.15797209270651","3.37063308645665","3.09222458520885","2.94342922968964","3.02317739613679"
"214204_at","135138","PACRG","2.61500002720063","2.73498977195937","2.84443887347147","2.61500002720063","2.62452954058196","2.56163341157202","2.61500002720063"
"214211_at","2495","FTH1","10.1893808462082","10.65834905439","9.77281267974059","11.0602692676027","11.0749933936311","11.4856979021093","11.5813687328195"
"214212_x_at","10979","FERMT2","9.94929246341158","9.95716860689053","10.2566152114219","9.92875395153092","9.16895456912051","9.75172828503994","10.0290068917321"
"214219_x_at","11184","MAP4K1","4.27547849426583","4.33431848901938","4.15276368916754","4.74485775167411","4.06746344238441","4.51578896569497","4.46867547979036"
"214221_at","7840","ALMS1","6.44313000190591","5.74657228140689","6.09457569844312","5.06740383119178","5.91495797749705","6.12191776427396","5.41443018237445"
"214223_at","11156","PTP4A3","4.99465523896603","4.68716898597197","4.46205251870264","4.83880263578712","4.88943573911031","4.94800947016149","4.98300876934561"
"214224_s_at","5303","PIN4","7.27290538378766","7.42317170078672","7.87085854431544","7.50901569676611","8.12917093588662","7.95810423332158","8.06231672364204"
"214226_at","339105","PRSS53","5.43882883674213","5.24265289489767","5.36298047880751","5.49783441835642","5.05245544217679","5.36298047880751","5.05610643969083"
"214234_s_at","1577","CYP3A5","4.25893277362401","4.09201975032011","4.18315238023294","3.97616139869429","3.82501940259181","4.44901371368966","3.62121582114392"
"214240_at","51083","GAL","2.87103970672415","3.70473966063901","5.54263037276813","3.15166282202305","3.33264071601041","3.46493877407132","3.49180496728181"
"214241_at","4714","NDUFB8","4.93554281524045","4.69902597116785","4.94498039623911","4.89761758712684","5.5013444203916","4.6127002133879","5.07670656199102"
"214252_s_at","1203","CLN5","5.3175968601356","6.48449966399234","5.95026297090414","6.68296357556486","6.78254020235438","6.70257588939869","7.05165057646138"
"214253_s_at","1838","DTNB","5.32233411618742","5.3976108160658","5.3976108160658","5.83932166612174","5.22081757387961","5.59540482783867","5.67415588157189"
"214254_at","4103","MAGEA4","2.35561572160709","2.31123956827176","2.42854684504556","2.31123956827176","2.2529270096829","2.31123956827176","2.1771101590792"
"214255_at","57194","ATP10A","7.98011670409956","8.38359563929498","7.36024906713615","7.79565045878485","6.76833318935176","7.3866731238895","7.26788980913037"
"214257_s_at","9554","SEC22B","9.7519099636649","9.95109291210079","9.89389668566155","10.2616714676193","10.0169623010471","10.3576530404975","10.3319290514263"
"214261_s_at","130","ADH6","3.15450974843199","3.34660109568663","3.15450974843199","3.15450974843199","2.99638404530595","3.15450974843199","3.35309525980816"
"214264_s_at","90141","EFCAB11","6.86140361334639","6.50178374742297","6.91558702833","5.84744583046952","6.50178374742297","6.00025352583752","6.12208318604349"
"214268_s_at","9110","MTMR4","6.5428926944319","6.18463563709362","6.67405779776851","6.76075080242205","7.02071322435328","6.86712357530601","6.76075080242205"
"214269_at","84179","SLC49A3","3.89097605885298","4.27932728345502","4.22408855247658","4.21690476321464","4.24332965290527","4.21690476321464","4.21690476321464"
"214274_s_at","30","ACAA1","7.19973145667079","7.7091731946117","7.26152911511541","7.84636485218406","8.21422084479691","8.17841091530008","8.1468544255234"
"214278_s_at","57447","NDRG2","3.32714594090453","3.58363370489466","3.09222458520885","3.32714594090453","3.16788105128808","3.32714594090453","3.62431519498696"
"214282_at","1356","CP","1.98122213831328","1.98122213831328","2.03687442037226","1.98122213831328","1.8716683566328","1.76644430032979","2.08552884557211"
"214286_at","2779","GNAT1","3.35700450033298","3.17369853811073","3.0058158893404","3.46912610564996","2.98001478949094","3.36419858779053","3.38257932613102"
"214289_at","5689","PSMB1","3.09847602429451","2.97446479934949","3.25739608269371","2.86825544895508","2.7477538017867","2.97446479934949","2.97446479934949"
"214293_at","55752","SEPTIN11","7.90523977019751","7.5669732051823","7.14476014504488","8.26344998504298","7.65215736870687","8.46016319938264","8.2608044589936"
