row ID,row m/z,row retention time,row identity (main ID),120.mzXML Peak area,108.mzXML Peak area,114.mzXML Peak area,116.mzXML Peak area,122.mzXML Peak area,124.mzXML Peak area,138.mzXML Peak area,136.mzXML Peak area,142.mzXML Peak area,144.mzXML Peak area,146.mzXML Peak area,140.mzXML Peak area,
124,988.146566458021,1.3284111,,761.7042,0,731.88007,0,1098.5256,0,778.75415,844.70605,0,0,786.14996,0,
129,175.10808164523837,1.3353624,N2-Acetylornithine: 0.931,495.10074,688.0167,1112.4486,1043.9524,1006.3787,1025.6542,1056.0979,836.20856,623.4339,964.0709,810.9074,944.3919,
130,247.04250099630488,1.3353639,,1110.3246,1624.6017,1645.3251,2367.4446,1789.6262,3988.526,1458.9203,1496.195,3040.0073,3613.1077,1105.9215,2073.6514,
131,146.11715168128356,1.3353742,4-Trimethylammoniobutanoic acid: 0.908,1332.3518,2539.5625,4481.812,1768.6233,4234.0464,2232.2058,4546.143,4616.5986,2261.033,539.5785,5296.1587,0,
132,258.11073548150983,1.3364,Glycerophosphocholine: 0.918,2316.5664,1703.7426,2495.9143,1595.4945,3195.0112,1603.4813,1936.7144,1718.3589,1299.2926,1669.9374,1576.6035,1135.5012,
133,524.0567559627407,1.3366946,,397.1697,0,365.54605,0,531.7783,0,389.38806,413.31982,0,0,369.1949,0,
134,542.0675646293909,1.3366946,,785.4668,0,791.1303,0,1075.4412,0,775.3658,729.6729,0,0,786.63275,0,
136,664.1158141208881,1.3376567,,8526.317,0,0,0,11969.91,0,7810.638,0,1004.8395,0,0,1049.8485,
137,775.0953615867024,1.339325,,0,261.50702,0,214.44658,0,0,0,0,239.67308,223.25275,0,0,
139,577.1584379910956,1.33985,Maysin: 0.812,2712.3008,942.4893,3409.4338,1170.0377,1664.012,881.60974,2626.3176,2999.8625,1078.0143,913.5725,2918.1016,773.20447,
141,695.1327344982564,1.3474152,Guavin B: 0.594,3697.3438,2859.5479,4330.723,2058.8013,4344.4136,1675.1234,4822.3423,4876.4033,2445.5012,1860.4807,4195.911,0,
142,748.0522139774152,1.3478634,,0,268.16562,0,193.89853,0,207.20905,0,0,240.4351,180.79593,0,0,
143,136.06183974162713,1.3488235,Adenine: 0.983,11323.851,7518.438,12626.388,6500.272,11950.207,6237.9556,12166.425,13368.033,7251.781,7138.6206,11296.04,5810.9795,
144,348.22013014263626,1.34935,,4940.7607,3606.6382,5494.142,0,5910.2793,0,6166.0947,6688.458,0,0,5624.7373,0,
145,348.07135617084356,1.3495126,Adenosine monophosphate_conf: 0.953,84973.29,59208.59,91029.805,47972.992,93063.15,41909.664,93570.86,104431.99,51911.53,47191.543,86155.42,33030.883,
146,370.0523144197312,1.3498583,,380.50513,699.6162,488.04526,536.23895,379.93906,591.1173,413.45697,415.91702,701.0651,594.40906,398.46603,399.78952,
147,386.0275039473763,1.3502107,(-)-Epigallocatechin sulfate: 0.766,258.19016,322.94772,0,285.94446,281.7864,294.22186,304.68936,316.82275,388.43335,270.6602,271.82346,230.61676,
148,545.1505671409959,1.3514875,"(2S,2''S,3S,3''R,4S)-3,4',5,7-Tetrahydroxyflavan(2-&gt;7,4-&gt;8)-3,4',5,7-tetrahydroxyflavan: 0.612",165.74008,0,180.8269,0,175.06354,0,0,202.78491,0,0,0,0,
149,400.9930471702971,1.3522736,,335.5218,734.9373,391.92007,542.41266,309.75378,663.7922,306.0519,329.40863,727.874,587.15186,343.47644,376.76318,
150,119.03440108246932,1.353244,Methylmalonic acid: 0.856,775.8273,378.2953,363.96378,367.66623,942.476,292.30463,605.1443,637.31995,0,318.21402,550.46234,274.99664,
151,176.16325863509573,1.3553936,,534.94934,0,945.53876,0,944.14813,0,1309.0652,1120.1991,0,433.1541,752.1421,1720.2941,
152,198.08910232003774,1.35656,N-Acetylhistidine: 0.700,407.91992,0,400.00867,0,560.1019,0,370.54758,491.07822,0,0,0,0,
154,921.1530314834499,1.3642973,,363.3104,0,214.85036,0,238.96382,0,165.20816,256.75247,0,0,312.84753,0,
157,190.1431096537792,1.3719857,,533.4341,0,490.09042,0,668.57837,0,480.63007,544.4854,0,0,631.3785,310.51825,
160,574.093863570864,1.3740139,,3802.7454,511.42633,2020.4508,843.7994,2411.8958,546.89496,1503.3447,2228.3787,734.29895,578.859,3009.218,823.104,
163,152.05670914987763,1.3778096,,1566.8655,1141.7416,1674.431,1100.0714,1605.8423,823.85156,1835.1102,1574.1163,870.98956,1028.886,1372.5819,884.8738,
164,712.1121741703039,1.3780833,,810.9029,0,0,0,899.562,0,948.756,0,0,0,0,826.89185,
165,364.0652900479735,1.3798791,,4411.757,3118.9429,4981.7095,2857.8984,4571.845,2018.1492,5144.291,4594.0186,2108.963,2663.623,3758.0857,2515.7437,
173,697.1116724209938,1.3833833,,1355.3226,0,768.05414,0,1726.6836,0,1393.4346,886.04395,0,0,0,5879.82,
174,137.04695334884326,1.3839139,Hypoxanthine: 0.716,4950.6987,0,0,0,5717.314,0,4740.077,3035.5667,0,0,2678.174,14805.825,
175,688.0982259197158,1.3843638,,1176.1312,549.6277,1302.8582,466.80722,1273.3489,278.98444,1459.2554,1391.3685,294.30844,466.0672,1086.0677,174.02007,
177,726.0201759868346,1.3868084,,482.61115,434.62915,400.12012,420.69675,449.2198,0,414.80737,383.25278,0,465.6701,380.589,676.6272,
179,377.9668493313597,1.3902291,,1135.8302,1341.4539,1168.2896,1054.6824,1056.3792,1167.1903,900.4993,1027.8754,1318.4045,1326.5748,996.2693,803.2062,
180,673.0890991291604,1.3905764,,2698.2434,821.00214,1643.6554,1068.7861,3222.443,530.05426,2699.8855,1924.1052,652.5432,1160.6968,1647.7662,3145.755,
182,123.05567968061304,1.3943735,Niacinamide: 0.894,87823.8,32461.15,64061.363,43298.99,66084.66,34443.74,64660.76,68430.77,29973.143,36521.926,73393.336,37401.645,
183,997.1248503824603,1.3950548,,513.30615,0,358.2973,0,575.86017,0,599.80237,512.7859,0,0,418.5991,242.98457,
184,447.0919564034178,1.3952099,Glucorhein: 0.983,915.1777,255.64175,615.80304,320.0555,607.38104,262.0677,537.4853,553.55176,0,314.0377,706.37463,0,
185,123.14652500474075,1.3974279,,4086.3413,0,2458.478,0,2348.9314,0,2427.1973,2602.205,0,0,3100.3918,0,
187,332.56264197785146,1.4015751,,613.3225,0,610.3643,0,376.1934,0,535.04865,388.725,0,0,532.9558,0,
189,176.12799023627127,1.4038818,Selenate: 0.770,605.5132,345.21664,557.8186,355.3588,528.2374,266.12473,460.75873,556.6304,238.406,232.94423,719.81744,0,
192,213.01600531038022,1.4075416,,537.4639,445.31274,621.8732,0,640.9269,0,596.74347,588.7271,0,477.13504,589.6675,0,
193,362.99779494604076,1.4075416,,748.87616,643.3058,757.2868,0,785.0033,0,716.7667,724.4907,0,661.9969,735.5847,0,
195,973.1117889051452,1.4077805,,485.7762,0,459.0984,0,535.34827,0,539.0305,514.3384,0,0,563.0316,0,
197,687.0321254182912,1.4084693,,322.93106,0,360.23154,0,354.49414,0,359.2557,319.5649,0,0,370.4179,0,
198,649.0787464167355,1.4088653,,3971.759,2104.488,3830.294,1454.139,4466.5396,1237.4208,4031.1433,4155.4683,1561.0491,1903.7108,4138.8384,1048.422,
199,671.0589602998758,1.4096104,,476.97336,303.19608,492.7976,0,513.0342,0,479.02362,450.75925,0,282.0565,525.926,0,
201,97.02862337540415,1.4099001,2-Furancarboxaldehyde: 0.925,5555.5127,4655.7617,4733.811,4350.444,7439.9214,4180.0645,6186.001,6275.0205,5032.272,5075.2734,6273.474,4020.6475,
202,702.0018263351435,1.4099001,,642.08997,771.28595,667.0685,415.4795,614.7054,504.89865,604.087,562.7626,529.3156,651.4775,714.7061,286.5471,
204,325.043903864902,1.4116263,Uridine monophosphate (UMP)_conf: 0.953,5555.6885,4619.3496,6514.1357,4113.055,6756.8613,4085.8237,6305.5386,6371.987,4782.868,4919.988,6321.414,3447.882,
205,347.02505002703583,1.4130055,,1373.8917,1493.1003,1393.125,1200.0055,1438.366,1208.7655,1354.8253,1360.411,1468.3937,1383.4459,1413.9548,1015.8327,
207,511.98875033599376,1.4164542,,562.53204,615.73944,781.35944,473.2494,658.681,576.48926,690.5893,500.8901,750.9221,521.6839,614.27936,468.6387,
209,121.05101157041453,1.4189777,Purine: 0.962,8912.729,12987.5,10805.763,16774.705,14810.619,18201.53,0,0,0,12712.5205,11971.91,13405.075,
212,723.0395006098114,1.4271055,,236.77278,0,237.54065,0,308.54498,0,243.89203,251.10956,0,0,215.1973,0,
213,561.0246739751361,1.4333167,,641.9357,0,722.53534,0,752.28815,0,691.09296,681.7609,0,0,663.156,0,
214,932.5593445467333,1.43524,,216.5277,0,252.42348,0,281.87292,0,280.98596,290.5672,0,0,0,0,
215,160.23529736987956,1.4354223,,6174.91,2055.7969,0,0,7332.3667,2242.0576,0,4955.017,0,0,0,7193.4097,
216,249.1105381325015,1.4391,"(+)-cis-5,6-Dihydro-5-hydroxy-4-methoxy-6-(2-phenylethyl)-2H-pyran-2-one: 0.786",0,0,527.3777,464.19205,0,0,0,0,368.38922,0,701.39636,0,
218,499.11553406501605,1.44475,"N,N'-Bis(gamma-glutamyl)cystine: 0.948",0,0,241.86183,0,0,0,360.86102,315.83026,0,0,249.46333,0,
