"Protein.IDs","Gene.names","LFQ.intensity_Day-1_Rep1","LFQ.intensity_Day-1_Rep2","LFQ.intensity_Day-1_Rep3","LFQ.intensity_Day0_Rep1","LFQ.intensity_Day0_Rep2","LFQ.intensity_Day0_Rep3","LFQ.intensity_Day1_Rep1","LFQ.intensity_Day1_Rep2","LFQ.intensity_Day1_Rep3","LFQ.intensity_Day2_Rep1","LFQ.intensity_Day2_Rep2","LFQ.intensity_Day2_Rep3","LFQ.intensity_Day3_Rep1","LFQ.intensity_Day3_Rep2","LFQ.intensity_Day3_Rep3","LFQ.intensity_Day4_Rep1","LFQ.intensity_Day4_Rep2","LFQ.intensity_Day4_Rep3"
"Q9UMS0","NFU1",399530000,535970000,580250000,421930000,555580000,429990000,360610000,444100000,320064000,370360000,330987000,327563000,282914000,263054000,296792000,350730000,285087000,311830000
"Q9UMS4","PRPF19",2835570000,2757900000,2836240000,3058920000,2993530000,3187700000,3541500000,3390800000,3735300000,3611800000,3880500000,3710800000,3204480000,3244500000,3327700000,2884510000,2906450000,2661150000
"Q9UMS6","SYNPO2",1731570000,1673160000,1736340000,2260380000,2593980000,2110580000,3876700000,3972700000,3521200000,6908700000,6205600000,5130700000,9477300000,7832400000,7297200000,8399900000,7333700000,8190300000
"Q9UMX0","UBQLN1",1768250000,1703460000,1758490000,1648940000,1617600000,1709280000,1231920000,1258170000,1322390000,1142450000,1127470000,1253360000,998150000,1112640000,1134970000,974880000,1010590000,1019460000
"Q9UMX5","NENF",182250000,187313000,194409000,223222000,268357000,184441000,245184000,218393000,174970000,263459000,245833000,169033000,278879000,233801000,240951000,301620000,210082000,205468000
"Q9UMY4","SNX12",631170000,588280000,635420000,620840000,667970000,599620000,739830000,740120000,699570000,652210000,554460000,636300000,542270000,590510000,585520000,614050000,504790000,546810000
"Q9UN37","VPS4A",771890000,659860000,734380000,711970000,711320000,633730000,604880000,565200000,560170000,731090000,630570000,533070000,694190000,562860000,542880000,561020000,550120000,500540000
"Q9UN70","PCDHGC3",222155000,161726000,125723000,175151000,174873000,111536000,169020000,193396000,182588000,210197000,185953000,181587000,167895000,177641000,98363000,146828000,134309000,156557000
"Q9UN86","G3BP2",3264800000,3078830000,3214320000,2563840000,3091680000,2554270000,1947720000,1894040000,1891030000,2186010000,2161940000,1848220000,2404710000,2160270000,2099140000,2096110000,2064270000,2563640000
"Q9UNE7","STUB1",987290000,1010090000,955620000,792390000,806940000,793670000,931290000,931010000,843800000,949600000,743520000,739240000,881410000,929450000,768220000,939220000,944050000,1012160000
"Q9UNF0","PACSIN2",1930330000,2047930000,1841540000,1701070000,2346900000,1565430000,1817930000,2026250000,1624030000,1990670000,1816690000,1324080000,1861480000,1314760000,1214680000,1620120000,1.422e+09,1785330000
"Q9UNF1;Q12816","MAGED2",1353920000,1348050000,1353380000,1431140000,1371300000,1395610000,899350000,855910000,999890000,1143700000,1185770000,1.204e+09,1174650000,1345120000,1441540000,1320330000,1332290000,1270950000
"Q9UNH7;Q86XE0","SNX6",1356230000,1229760000,1216600000,1257700000,1384530000,1237310000,1736570000,1543840000,1496090000,1542050000,1508570000,1395340000,1455650000,1261970000,1235490000,1174510000,1221690000,1279650000
"Q9UNI6","DUSP12",60038000,47490000,60071000,82836000,94240000,47120000,57199000,73189000,64741000,64335000,51254000,49011000,54806000,23379000,24968000,55570000,NA,19767000
"Q9UNK0","STX8",145494000,142934000,151548000,120184000,112268000,119759000,83674000,63747000,98015000,52926000,59057000,92096000,66731000,78029000,81196000,143233000,115682000,121428000
"Q9UNM6","PSMD13",3.743e+09,3769400000,3663700000,3111800000,3.419e+09,3201790000,3.28e+09,3499100000,3337700000,3.601e+09,3471100000,3245200000,3691500000,3519700000,3513500000,3491900000,3614300000,3699500000
"Q9UNN5","FAF1",159766000,189548000,193813000,108708000,127470000,143007000,145690000,124368000,151974000,126201000,127237000,131255000,131529000,122336000,80961000,116091000,112772000,126457000
"Q9UNP9","PPIE",133565000,140967000,135488000,155706000,151692000,143679000,98612000,141484000,167121000,107682000,133916000,144320000,46245000,101200000,133460000,26618000,106934000,38514000
"Q9UNQ2","DIMT1",94822000,40247000,59142000,80436000,66344000,77522000,27289000,53774000,41056000,NA,NA,34097000,NA,20636000,17061000,NA,NA,18225000
"Q9UNS2","COPS3",1423060000,1343910000,1279520000,1451890000,1441130000,1340580000,1371620000,1383350000,1.457e+09,1513330000,1384350000,1336030000,1477810000,1444830000,1429890000,1369060000,1411250000,1530050000
"Q9UNW1","MINPP1",53102000,47473000,12251000,28809000,61722000,49169000,72050000,NA,18295000,43649000,47556000,30979000,34231000,34711000,18462000,15052000,30650000,NA
"Q9UNX3","RPL26L1",278609000,354060000,335400000,375400000,271412000,323429000,438970000,472010000,361400000,292118000,295517000,337633000,398710000,447570000,300562000,322144000,384630000,436520000
"Q9UNX4","WDR3",125783000,117311000,113994000,111459000,122598000,132686000,33952000,69028000,58972000,78437000,45792000,135310000,53788000,78118000,133510000,NA,107856000,80168000
